Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,PMR1,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,PMR2,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,PMR3,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,PMR4,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,PMR5,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,PMR6,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,PMR7,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,PMR8,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,PMR9,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,PMR10,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,PMR11,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,PMR12,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,PMR13,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,PMR14,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,PMR15,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,PMR16,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,BRSL6,164.050000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,BRSL7,164.062500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,BRSL8,169.087500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,BRSL9,169.312500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,BRSL10,173.050000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,BRSL11,173.062500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,BRSL12,173.087500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,BRSL13,449.312500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,BRSL14,449.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,BRSL15,449.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,458.787,458.787500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
27,458.800,458.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,458.825,458.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,158.787,158.787500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,159.187,159.187500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,159.250,159.250000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,159.350,159.350000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,159.400,159.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,159.425,159.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
35,159.450,159.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
36,159.487,159.487500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
37,159.500,159.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
38,159.587,159.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
39,159.625,159.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
40,159.687,159.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
41,163.287,163.287500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
42,163.687,163.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
43,163.750,163.750000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
44,163.850,163.850000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
45,163.900,163.900000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
46,163.925,163.925000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,163.950,163.950000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
48,163.987,163.987500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
49,164.000,164.000000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,164.087,164.087500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
51,164.125,164.125000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
52,164.187,164.187500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
53,167.200,167.200000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
